"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4256,2,10,1,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,10,2,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,10,3,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4256,2,10,4,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,10,5,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,10,6,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
4256,2,10,7,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,10,8,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4256,2,11,1,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4256,2,11,2,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4256,2,11,3,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,11,4,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4256,2,11,5,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4256,2,11,6,1,1,1,1,0,"0","Tannet","Lape",1,1,2,5,8
4256,2,11,7,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4256,2,11,8,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4256,2,12,1,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4256,2,12,2,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4256,2,12,3,0,0,1,0,1,"0","Tannet","Lape",1,1,2,3,2
4256,2,12,4,0,0,0,1,1,"1","Lape","Lape",0,1,3,8,1
4256,2,12,4,0,0,1,1,1,"1","Lape","Lape",0,2,2,8,2
4256,2,12,4,0,1,0,1,1,"1","Lape","Tannet",1,3,2,8,3
4256,2,12,5,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4256,2,12,6,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4256,2,12,7,0,0,0,1,1,"0","Lape","Lape",0,1,2,7,1
4256,2,12,7,0,1,0,1,1,"0","Lape","Tannet",1,2,1,7,3
4256,2,12,8,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
4261,2,1,1,0,1,1,1,0,"1","Tannet","Tannet",0,1,2,6,4
4261,2,1,1,1,0,0,1,0,"1","Tannet","Tannet",0,2,1,6,5
4261,2,1,1,0,0,1,1,0,"1","Tannet","Lape",1,3,1,6,2
4261,2,1,2,0,0,1,0,1,"0","Tannet","Lape",1,1,2,3,2
4261,2,1,3,0,0,1,1,0,"0","Tannet","Lape",1,1,2,5,2
4261,2,1,4,1,1,0,1,1,"1","Lape","Lape",0,1,1,8,7
4261,2,1,4,0,1,0,1,1,"1","Lape","Tannet",1,2,2,8,3
4261,2,1,5,0,1,0,0,0,"1","Lape","Tannet",1,1,2,2,3
4261,2,1,6,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
4261,2,1,7,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4261,2,1,8,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4261,2,2,1,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4261,2,2,2,0,1,0,0,0,"1","Lape","Tannet",1,1,2,2,3
4261,2,2,3,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4261,2,2,4,0,1,0,0,0,"0","Lape","Tannet",1,1,1,1,3
